model,preprocessing,vectorization,n_features,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,training_time,device
Logistic Regression,clean_aggressive,binarized,44735,0.722654310772795,0.4774304797925156,0.42380653531652823,0.4458230693631512,0.7045440236199453,0.722654310772795,0.7123797491624858,15.149963,CPU
Linear SVC,clean_aggressive,binarized,44735,0.6989905675988747,0.4496002579710073,0.4071297591956025,0.42487571433287696,0.689979331903352,0.6989905675988747,0.6939193155709285,2.955054,CPU
Multinomial NB,clean_aggressive,binarized,44735,0.6999834519278504,0.4530269669286243,0.2936972389170386,0.29677039354923235,0.683320737627695,0.6999834519278504,0.6797675018672082,0.017164,CPU
Random Forest,clean_aggressive,binarized,44735,0.6966738374979314,0.23934779010097668,0.2001719690455718,0.16459700617607034,0.581511541068187,0.6966738374979314,0.5723506222780148,0.218923,CPU
Logistic Regression,clean_aggressive,frequency,44735,0.7416845937448288,0.5029279502369173,0.4183800408019782,0.4480134371799254,0.7055669360983414,0.7416845937448288,0.7173312099682713,11.299546,CPU
Linear SVC,clean_aggressive,frequency,44735,0.707099122952176,0.4769739880027001,0.42862036615758364,0.4486629912864877,0.7009760164777475,0.707099122952176,0.7033965389492416,3.409068,CPU
Multinomial NB,clean_aggressive,frequency,44735,0.707099122952176,0.482828751464651,0.33475864288964424,0.3355725531335982,0.7154410467032083,0.707099122952176,0.7012635128944853,0.010066,CPU
Random Forest,clean_aggressive,frequency,44735,0.6968393182194275,0.2317770123740273,0.20084174537345456,0.16631467119517013,0.5745326942851647,0.6968393182194275,0.5740543807131051,0.161764,CPU
Logistic Regression,clean_aggressive_stopwords,binarized,44478,0.7176898891279166,0.4632025803372076,0.41283048034692627,0.43379657126280247,0.6973552914441918,0.7176898891279166,0.7061030438723637,10.92021,CPU
Linear SVC,clean_aggressive_stopwords,binarized,44478,0.6956809531689558,0.45803537417027035,0.4112175315229621,0.43070090183792475,0.6862912916324998,0.6956809531689558,0.6903580011279143,2.136991,CPU
Multinomial NB,clean_aggressive_stopwords,binarized,44478,0.7027966241932815,0.48057109069960974,0.30975492214621614,0.3154297008975341,0.6948045952754389,0.7027966241932815,0.687852251118191,0.008189,CPU
Random Forest,clean_aggressive_stopwords,binarized,44478,0.6963428760549396,0.20600739881839764,0.20020138641616142,0.16488500926815397,0.5494112816150662,0.6963428760549396,0.5724941976904983,0.16195,CPU
Logistic Regression,clean_aggressive_stopwords,frequency,44478,0.7368856528214462,0.5303971958412117,0.4550460472865012,0.4852884329026982,0.7109431443435918,0.7368856528214462,0.7204989560867623,9.195744,CPU
Linear SVC,clean_aggressive_stopwords,frequency,44478,0.7026311434717856,0.47869548780742355,0.4312146530222809,0.4512119012571814,0.6955712524878639,0.7026311434717856,0.6985263476619537,2.029942,CPU
Multinomial NB,clean_aggressive_stopwords,frequency,44478,0.7051133542942247,0.5005130721742915,0.3284131666959447,0.33499972340822454,0.7078578397190615,0.7051133542942247,0.696422892587631,0.00861,CPU
Random Forest,clean_aggressive_stopwords,frequency,44478,0.6963428760549396,0.1893277032621295,0.20007693459558368,0.16455040948487784,0.5333280680376493,0.6963428760549396,0.5721898303517734,0.141657,CPU
Logistic Regression,clean_aggressive_stopwords_lemma,binarized,37338,0.7216614264438193,0.48142336403703634,0.426754227097457,0.44901530731193173,0.6946470629380095,0.7216614264438193,0.7054721768294119,8.815608,CPU
Linear SVC,clean_aggressive_stopwords_lemma,binarized,37338,0.6915439351315572,0.4386876107702024,0.40157241526921866,0.4175571082069311,0.6766216366667939,0.6915439351315572,0.6833419832164821,1.808312,CPU
Multinomial NB,clean_aggressive_stopwords_lemma,binarized,37338,0.694853549561476,0.512012662390956,0.2928205153674205,0.29639703894605757,0.6839555008658644,0.694853549561476,0.6757416194570182,0.006364,CPU
Random Forest,clean_aggressive_stopwords_lemma,binarized,37338,0.6965083567764355,0.18936082132803445,0.20012445182057775,0.16458944149112298,0.5334434030859647,0.6965083567764355,0.5723257609444309,0.147291,CPU
Logistic Regression,clean_aggressive_stopwords_lemma,frequency,37338,0.7296045010756247,0.4747080492874137,0.4202880367486671,0.44067033925717336,0.6956428935322517,0.7296045010756247,0.7077476798891907,9.126533,CPU
Linear SVC,clean_aggressive_stopwords_lemma,frequency,37338,0.6933642230680126,0.4449360349791739,0.39857816854028283,0.41780019837579585,0.6772364547512049,0.6933642230680126,0.6843234695681617,1.918588,CPU
Multinomial NB,clean_aggressive_stopwords_lemma,frequency,37338,0.6950190302829721,0.4983231993623787,0.31302733206519584,0.32058702906840375,0.6951484519372565,0.6950190302829721,0.684013495912109,0.006493,CPU
Random Forest,clean_aggressive_stopwords_lemma,frequency,37338,0.6961773953334437,0.17931765485260018,0.2000294173705896,0.16452710516008023,0.5236703700766128,0.6961773953334437,0.5721094116612992,0.153997,CPU
Logistic Regression,clean_aggressive_stopwords_lemma,tfidf,37338,0.7319212311765679,0.5259478399189191,0.3381158189942927,0.3754610412484246,0.6857688910218478,0.7319212311765679,0.6944094329592341,0.451425,CPU
Linear SVC,clean_aggressive_stopwords_lemma,tfidf,37338,0.7276187324176734,0.4944641412222387,0.3968190284255074,0.4310404639775992,0.690895301246492,0.7276187324176734,0.7032855209548896,0.305916,CPU
Multinomial NB,clean_aggressive_stopwords_lemma,tfidf,37338,0.6970047989409234,0.19230621374152515,0.20076481077787087,0.16614040074388572,0.5370685621085514,0.6970047989409234,0.5743264689886466,0.00597,CPU
Random Forest,clean_aggressive_stopwords_lemma,tfidf,37338,0.6965083567764355,0.1393016713552871,0.2,0.16422161529457666,0.4851238910594104,0.6965083567764355,0.5719086370799877,0.164912,CPU
Logistic Regression,clean_aggressive_stopwords,tfidf,44478,0.7405262286943571,0.5645887489681354,0.35436254737801043,0.3957470842050648,0.7003288069421095,0.7405262286943571,0.7053509670088483,-1.584259,CPU
Linear SVC,clean_aggressive_stopwords,tfidf,44478,0.7383749793149098,0.5549826683275862,0.43201149768350156,0.47132033892347175,0.7084986380138565,0.7383749793149098,0.7175584062939558,0.340112,CPU
Multinomial NB,clean_aggressive_stopwords,tfidf,44478,0.6966738374979314,0.18951251865362295,0.20042087268672729,0.1653572140957447,0.5339716953608299,0.6966738374979314,0.573289513170901,0.007,CPU
Random Forest,clean_aggressive_stopwords,tfidf,44478,0.6965083567764355,0.13932472691161868,0.2,0.16423763535264851,0.4852041829976858,0.6965083567764355,0.5719644276016033,0.176782,CPU
Logistic Regression,clean_aggressive,tfidf,44735,0.7521098791990734,0.5637259575223432,0.37946050532405645,0.42041605091725953,0.7146093534794138,0.7521098791990734,0.721167630218143,0.686697,CPU
Linear SVC,clean_aggressive,tfidf,44735,0.743835843124276,0.5676693068520443,0.44628800563003396,0.48428890886192627,0.7159483240634936,0.743835843124276,0.7242010298853124,0.467734,CPU
Multinomial NB,clean_aggressive,tfidf,44735,0.6965083567764355,0.1393939393939394,0.2,0.16428571428571428,0.4854452183593339,0.6965083567764355,0.5721318644949291,0.008575,CPU
Random Forest,clean_aggressive,tfidf,44735,0.6965083567764355,0.13932472691161868,0.2,0.16423763535264851,0.4852041829976858,0.6965083567764355,0.5719644276016033,0.193271,CPU
Logistic Regression,clean_basic,binarized,45667,0.7216614264438193,0.4809283378926879,0.42460432144524196,0.4475608651056325,0.7038050876212013,0.7216614264438193,0.7114905759864942,13.940276,CPU
Linear SVC,clean_basic,binarized,45667,0.6994870097633625,0.4572956725951098,0.41319579377511656,0.43172440932379386,0.6909275530948158,0.6994870097633625,0.6945878750992932,2.637746,CPU
Multinomial NB,clean_basic,binarized,45667,0.7008108555353302,0.45134772290420555,0.29150839709905324,0.2926567945828652,0.6836527292311704,0.7008108555353302,0.6800436502155076,0.010022,CPU
Random Forest,clean_basic,binarized,45667,0.6963428760549396,0.20600739881839764,0.20020138641616142,0.16488500926815397,0.5494112816150662,0.6963428760549396,0.5724941976904983,0.235876,CPU
Logistic Regression,clean_basic,frequency,45667,0.7413536323018368,0.49903607489098684,0.41627789316670594,0.4452618852401159,0.7046197640336757,0.7413536323018368,0.7165399283538553,13.257341,CPU
Linear SVC,clean_basic,frequency,45667,0.7077610458381599,0.477206593390188,0.43008916721483165,0.44978059377670315,0.7015456185766512,0.7077610458381599,0.7040039734795926,3.478756,CPU
Multinomial NB,clean_basic,frequency,45667,0.7094158530531193,0.4888287389229963,0.3353708230769993,0.3364865581180598,0.716929550556752,0.7094158530531193,0.7028857760368655,0.009182,CPU
Random Forest,clean_basic,frequency,45667,0.6966738374979314,0.2251112373378775,0.20042087268672729,0.1652813755302774,0.5679360281891546,0.6966738374979314,0.5730144026500373,0.160516,CPU
Logistic Regression,clean_basic_lemma,binarized,36641,0.7246400794307463,0.4836865476639215,0.4293335327399843,0.45165029916734223,0.6976723907076112,0.7246400794307463,0.7083395559731597,8.912453,CPU
Linear SVC,clean_basic_lemma,binarized,36641,0.6927023001820288,0.43920357778117014,0.4032716772576824,0.41804452958264904,0.6752441417234609,0.6927023001820288,0.6828515839106577,1.825235,CPU
Multinomial NB,clean_basic_lemma,binarized,36641,0.695184511004468,0.5143282677801801,0.294586484447481,0.29795594582647056,0.686405671053244,0.695184511004468,0.6769132709786486,0.00703,CPU
Random Forest,clean_basic_lemma,binarized,36641,0.6963428760549396,0.20597130242825606,0.20007693459558368,0.16453468162479812,0.5492855744281508,0.6963428760549396,0.572134316558895,0.146651,CPU
