model,preprocessing,vectorization,n_features,device,cv_f1_macro,cv_time,train_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Logistic Regression,clean_aggressive,binarized,44735,CPU,0.4478368638809915,53.073155,14.313773,0.7231507529372828,0.4461887324204435,0.4779365894411571,0.4240735388120882
Linear SVC,clean_aggressive,binarized,44735,CPU,0.4138004790912726,8.238549,2.589989,0.6988250868773788,0.4243782015165328,0.44822983304831343,0.4070822419706085
Multinomial NB,clean_aggressive,binarized,44735,CPU,0.2795462665229057,0.069005,0.009194,0.6999834519278504,0.29677039354923235,0.4530269669286243,0.2936972389170386
Random Forest,clean_aggressive,binarized,44735,CPU,0.16415562283381374,1.150383,0.150984,0.6963428760549396,0.1642306566494292,0.13933774834437088,0.19995248277500594
Logistic Regression,clean_aggressive,frequency,44735,CPU,0.43445563864324904,52.838841,14.135162,0.7418500744663247,0.44985282738800264,0.5054042862062439,0.41975935114680574
Linear SVC,clean_aggressive,frequency,44735,CPU,0.4275710717794664,12.609447,3.636727,0.707430084395168,0.44781336668845223,0.47453471909445766,0.4286440097495559
Multinomial NB,clean_aggressive,frequency,44735,CPU,0.31438556772092374,0.063295,0.008448,0.707099122952176,0.3355725531335982,0.482828751464651,0.33475864288964424
Random Forest,clean_aggressive,frequency,44735,CPU,0.16466875958435917,1.319571,0.175262,0.6971702796624193,0.16600417964986047,0.28228722900691094,0.20081232800286494
Logistic Regression,clean_aggressive_stopwords,binarized,44478,CPU,0.4457913980911988,41.556224,10.685784,0.7180208505709085,0.4343517271282658,0.4646040085026666,0.4129255147969144
Linear SVC,clean_aggressive_stopwords,binarized,44478,CPU,0.4042626846962808,7.763111,2.003443,0.6958464338904518,0.4320715319061973,0.45878907848593986,0.4128386438423218
Multinomial NB,clean_aggressive_stopwords,binarized,44478,CPU,0.29551923772536504,0.051696,0.00658,0.7027966241932815,0.3154297008975341,0.48057109069960974,0.30975492214621614
Random Forest,clean_aggressive_stopwords,binarized,44478,CPU,0.16469210580938687,-0.330492,0.149958,0.6966738374979314,0.16458127796433236,0.3393247269116187,0.2001719690455718
Logistic Regression,clean_aggressive_stopwords,frequency,44478,CPU,0.4551502460708378,41.766788,10.650482,0.7367201720999503,0.4852661256251327,0.5301764739189821,0.4551229818820849
Linear SVC,clean_aggressive_stopwords,frequency,44478,CPU,0.41555611476412835,7.524626,1.995333,0.7027966241932815,0.45124637903406767,0.4784544872894559,0.4313866220678527
Multinomial NB,clean_aggressive_stopwords,frequency,44478,CPU,0.3240340314787443,0.054349,0.007768,0.7051133542942247,0.33499972340822454,0.5005130721742915,0.3284131666959447
Random Forest,clean_aggressive_stopwords,frequency,44478,CPU,0.16450693991628276,-0.582588,0.131773,0.6968393182194275,0.1649712327090219,0.2393939393939394,0.2003439380911436
Logistic Regression,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.43462157095027154,33.006845,8.51328,0.7218269071653153,0.4489615324550272,0.48144992837404804,0.4266772925018733
Linear SVC,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.4075016641819208,6.653609,1.84419,0.6913784544100612,0.4170328618111251,0.4381011005062728,0.4010984816199296
Multinomial NB,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.2858479381986706,0.04271,0.00518,0.694853549561476,0.29639703894605757,0.512012662390956,0.2928205153674205
Random Forest,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.16387806965003732,0.999392,0.126639,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.4349944181971942,33.066542,6.888685,0.7294390203541288,0.44016457484376054,0.47416409198995496,0.41981410309937794
Linear SVC,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.4127491180767023,6.707705,1.825729,0.6935297037895085,0.4178587846242179,0.445009752914096,0.3986256857652769
Multinomial NB,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.31058421463082164,0.047328,0.006289,0.6950190302829721,0.32058702906840375,0.4983231993623787,0.31302733206519584
Random Forest,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.16404017490601483,1.055997,0.146448,0.6963428760549396,0.16488500926815397,0.20600739881839764,0.20020138641616142
Logistic Regression,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.3541471031612296,1.753621,0.484499,0.7319212311765679,0.3754610412484246,0.5259478399189191,0.3381158189942927
Linear SVC,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.4123385233191931,1.130019,0.294392,0.7276187324176734,0.4310404639775992,0.4944641412222387,0.3968190284255074
Multinomial NB,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.16491473595607017,0.046555,0.004853,0.6970047989409234,0.16614040074388572,0.19230621374152515,0.20076481077787087
Random Forest,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.16360179642212241,1.131648,0.159063,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_aggressive_stopwords,tfidf,44478,CPU,0.36856829372005606,2.172082,0.587574,0.7405262286943571,0.3957470842050648,0.5645887489681354,0.35436254737801043
Linear SVC,clean_aggressive_stopwords,tfidf,44478,CPU,0.429878377830262,1.17502,0.313675,0.7383749793149098,0.47132033892347175,0.5549826683275862,0.43201149768350156
Multinomial NB,clean_aggressive_stopwords,tfidf,44478,CPU,0.16471168459080007,0.049201,0.006517,0.6966738374979314,0.1653572140957447,0.18951251865362295,0.20042087268672729
Random Forest,clean_aggressive_stopwords,tfidf,44478,CPU,0.16361156681782346,1.167194,0.159308,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,clean_aggressive,tfidf,44735,CPU,0.39592042354999263,2.846195,0.723992,0.7521098791990734,0.42041605091725953,0.5637259575223432,0.37946050532405645
Linear SVC,clean_aggressive,tfidf,44735,CPU,0.4399549219466662,1.573534,0.402376,0.743835843124276,0.48428890886192627,0.5676693068520443,0.44628800563003396
Multinomial NB,clean_aggressive,tfidf,44735,CPU,0.16405248892902213,0.059516,0.008044,0.6965083567764355,0.16428571428571428,0.1393939393939394,0.2
Random Forest,clean_aggressive,tfidf,44735,CPU,0.16387657569132505,1.274192,0.180677,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,clean_basic,binarized,45667,CPU,0.4482779497676165,52.367211,12.14012,0.7218269071653153,0.44762230209137266,0.4810140443518728,0.424651838670236
Linear SVC,clean_basic,binarized,45667,CPU,0.4153512119444792,9.522658,2.603541,0.6991560483203707,0.43160442491661455,0.45715211326656624,0.4131007593251284
Multinomial NB,clean_basic,binarized,45667,CPU,0.2787137391957185,0.069178,0.008962,0.7008108555353302,0.2926567945828652,0.45134772290420555,0.29150839709905324
Random Forest,clean_basic,binarized,45667,CPU,0.1645135582230463,1.201017,0.163928,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_basic,frequency,45667,CPU,0.4356030769036253,52.714747,14.152049,0.741022670858845,0.4448320145266826,0.498546323613855,0.41593395507556236
Linear SVC,clean_basic,frequency,45667,CPU,0.4254034012716656,10.158096,3.160725,0.7075955651166639,0.44843445952235816,0.47460594920729127,0.4293663299243871
Multinomial NB,clean_basic,frequency,45667,CPU,0.3128332870370382,0.060955,0.008952,0.7094158530531193,0.3364865581180598,0.4888287389229963,0.3353708230769993
